Nr.,Planungsraum,,Status 1,Status 2,Status 3,Status 4,Status 5, Status 6,Dynamik 1,Dynamik 2,Dynamik 3,Dynamik 4,Dynamik 5,Dynamik 6,E 1,E 2,E 3,E 4,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,E 14,E 15,E 16,E 17,E 18,E 19,E 20,E 21,E 22,      E 23
08041039,Frauenviertel,"3,347  ",7.2,5.4,2.4,15.7,35.7,42.1,30.8,4.7,4.5,-1.4,-3.5,-1.7,16.5,4.0,0.4,7.4,23.4,15.0,8.9,26.9,6.0,44.1,3.5,0.5,0.2,1.2,1.3,1.6,1.4,3.0,-2.0,-0.9,-1.0,12.2,26.9
08041040,Waltersdorfer Chaussee Ost,"8,021  ",5.6,2.7,1.9,12.4,31.9,32.4,18.1,-0.6,2.1,-1.8,-2.6,-5.4,12.4,-0.5,-0.4,4.7,19.9,18.7,6.4,19.4,4.6,36.9,2.2,0.3,0.4,0.4,0.8,1.3,1.2,2.1,-1.3,-1.2,-0.6,9.9,27.5
09010101,Elsenstr.,"10,267  ",11.8,4.5,5.6,15.4,41.0,42.6,32.6,0.0,-0.9,-1.0,3.6,-3.2,15.4,0.6,-0.3,6.7,14.9,12.8,11.1,21.3,10.5,39.0,2.4,0.9,0.5,1.0,2.2,1.4,0.9,3.5,-1.6,0.3,1.1,16.6,33.7
09010102,Am Treptower Park Nord,46  ,13.5,0.0,8.1,8.7,50.0,33.3,48.9,4.4,0.0,-5.4,0.0,5.6,33.3,-2.2,0.0,0.0,19.6,6.5,13.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.5,-3.2,0.0,-5.8,12.5,0.0
09010201,Am Treptower Park Süd,"4,047  ",6.3,2.8,2.3,7.0,16.9,21.2,26.6,0.5,0.4,-0.8,1.3,-0.5,20.1,0.4,-0.8,7.7,14.9,22.9,4.3,12.8,3.5,25.6,0.4,0.3,0.9,0.2,0.9,0.6,0.2,1.5,-1.0,-0.4,0.0,8.3,15.6
09010202,Köpenicker Landstraße,"6,574  ",10.6,3.7,4.7,9.4,37.2,13.6,21.4,0.0,-7.4,-1.5,3.6,-1.5,16.8,0.0,-0.3,2.9,6.8,35.0,2.2,9.6,2.2,15.7,0.2,0.1,0.3,0.2,0.2,0.6,0.4,0.8,-2.2,-1.6,0.4,13.0,28.1
09010301,Baumschulenstraße,"13,816  ",10.1,4.4,3.9,9.6,37.0,21.3,26.5,1.4,-2.6,-0.6,-2.0,-0.6,21.6,1.4,-0.1,4.1,9.4,32.5,3.4,11.1,5.9,21.6,0.3,0.1,0.3,0.5,0.4,0.8,0.5,1.2,-0.7,1.1,0.4,12.1,27.1
09010302,Späthsfelde,"2,924  ",4.1,2.7,1.4,3.1,5.0,24.9,14.9,0.9,6.5,-0.7,1.4,-1.1,5.7,0.5,-0.3,4.7,19.1,17.5,5.7,15.8,5.0,27.2,3.0,0.0,0.1,1.6,0.1,0.4,0.2,0.5,-0.6,0.9,0.0,4.7,12.5
09010401,Johannisthal West,"7,682  ",7.7,3.6,2.6,6.5,24.9,8.6,16.9,-0.1,-1.8,0.0,7.3,-3.1,21.1,0.1,-0.2,2.7,8.4,38.9,1.0,8.2,0.5,10.4,0.0,0.0,0.2,0.0,0.2,0.3,0.2,0.5,-0.3,0.4,-0.3,8.7,21.3
09010402,Johannisthal Ost,"9,949  ",7.2,3.7,2.6,7.6,17.5,16.9,26.7,2.5,7.5,-0.6,0.7,-3.7,12.3,2.2,-0.3,6.1,15.4,18.3,2.8,9.8,3.1,14.9,0.4,0.1,0.4,0.2,0.6,0.6,0.5,1.2,-0.5,0.3,0.1,10.2,13.0
