NR,Ebene,Gebiet,Einwohner,Dynamik1,Dynamik2,Dynamik4,Dynamik5,Dynamik3,Dynamik6,Status1,Status2,Status3,Status5,Status6,,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
1022207,Planungsraum,Hansaviertel,"5,913",34,0.8,-1.9,-0.1,-4.7,1.6,8.1,2.3,3.6,31.7,15.3,,9.5,19.8,29.5,1.4,1.5,2.9,1.1,8.9,3.3,2.8,18.9
1033101,Planungsraum,Soldiner Str.,"22,064",41.1,1.4,-0.5,-0.9,-5.3,5.1,25.6,19.1,11.5,70.3,34.9,,20.3,12.1,36.6,15.6,3.5,0.9,5.4,2.2,4.6,4.2,46.6
1033102,Planungsraum,Gesundbrunnen,"10,285",39.3,2.2,0.3,1.3,-1.3,4.3,23.2,17,10.7,66.4,37.1,,19.8,11.5,38.6,19.2,3,1.4,4.5,2.3,4.4,3.8,49
1033201,Planungsraum,Brunnenstr.,"12,464",29.8,1.8,-0.9,1.4,4.4,4.1,24.3,18.5,11.9,72.9,30.3,,24.8,14.4,32.1,17.1,4,1.3,3,1.7,2.3,2.2,41.3
1033202,Planungsraum,Humboldthain Süd,"9,176",26.7,2.3,0.1,2.6,-0.9,2.3,22.3,17.8,11.3,60,26.4,,17.8,20.3,27.2,14,2,1,3,2,1.9,1.8,37.8
1033203,Planungsraum,Humboldthain NW,"12,422",37.5,-0.6,0.1,1.5,-0.8,4.8,25.3,17.8,11.5,70.7,34.3,,20.6,11.6,37.3,16.2,4.1,1.2,5.3,2.1,3.6,3.1,45.6
1044101,Planungsraum,Rehberge,"17,695",32.2,0.9,0.1,1.1,-5.1,2.8,19,15.7,8.7,48.9,21.2,,14.3,16.6,22.9,7.4,1.9,1.1,3.3,2.3,2.9,2.6,29.1
1044102,Planungsraum,Schillerpark,"14,521",26.4,1.1,0.6,1.5,-1,5.4,19.2,17.2,8.4,46.4,17,,12.3,25.5,16.5,5.5,0.6,0.9,2.7,1.5,2.7,2.4,22.8
1044103,Planungsraum,Westl. Müllerstr.,"7,230",37.9,1.2,0.3,1.0,-3.4,-1.2,18.3,16.1,8.1,52.2,33.4,,14.2,11.8,33.3,9.5,2.2,2.4,2.9,3.6,4.8,4.1,42.4
1044201,Planungsraum,Reinickendorfer Str.,"19,872",38.4,0,-0.5,0.5,-0.2,2.6,25.4,18.3,11.8,70.2,40.1,,22.4,10.6,43.4,19,4.6,1.8,5.8,2.7,4.1,3.7,51.2
1044202,Planungsraum,Sparrplatz,"14,693",47,0.1,-0.4,0.2,-4.1,6.7,18.5,12.1,8.3,63.5,36.8,,16.1,7.6,41.4,11.1,4,1.3,4,4,4.6,4.1,46.8
1044203,Planungsraum,Leopoldplatz,"14,377",40.2,1.1,-0.6,-0.5,-5.8,3.1,22.9,16.1,10.9,65.8,36.7,,17.2,15.9,40,16.4,3,1.1,4.7,3.4,4.4,3.8,49.8
2010101,Planungsraum,Askanischer Platz,"6,506",42.5,-0.3,-0.1,0.3,-3.5,7.3,17.9,10.7,7.7,74.5,26.9,,23.2,7.2,38.4,11.7,5.5,3.1,1.8,5.2,3,2.5,35.2
2010102,Planungsraum,Mehringplatz,"12,766",29.4,-0.4,-0.1,-0.8,0.8,5,19.6,13.2,8.5,73.4,25.3,,24.3,12.6,32.3,14.5,3.7,2.8,2.9,2.6,2,1.8,36
2010103,Planungsraum,Moritzplatz,"14,328",26.5,0.7,-0.2,1.8,-0.9,3.5,21.4,13.7,9.2,72.6,27,,20.6,15.7,32.8,21.9,1.9,0.4,1.3,2.4,1.9,1.7,39.7
2010104,Planungsraum,Wassertorplatz,"4,948",27.3,-0.3,-0.4,1.2,1,4,20.2,15.3,7.8,76.8,34.3,,26.4,10.5,38.3,21.8,7.2,0.7,1.3,2.7,0.9,0.8,43.5
2020201,Planungsraum,Gleisdreieck/Entwicklungsgebiet,320,42.6,0.3,-1.8,3.1,-4.5,5.5,8.3,0,2.4,28.6,6.8,,13.8,5.6,29.4,5.6,1.9,0.9,0,9.7,4.7,4.7,20.5
2020202,Planungsraum,Rathaus Yorckstraße,"5,557",34.7,1.2,1.7,-3.8,-1.9,-1,11.1,8.4,4.3,43.6,19,,16.7,9,26.7,6.2,3,1,2.8,6.2,2.4,2.3,23.7
2020203,Planungsraum,Viktoriapark,"9,724",33.2,0.8,-0.9,-1.4,-3,-1.2,10.6,8.9,4,34.7,13.3,,13.9,8.5,22.2,4.7,1.5,0.5,2.3,6.5,1.9,1.6,18.6
2020204,Planungsraum,Urbanstraße,"11,938",36.3,1.8,-0.1,0.8,-5.1,0.2,11.6,7,4.5,34.8,18,,14.3,8.9,24.3,6.5,1.5,0.5,2.6,6.1,2,1.7,22.5
2020205,Planungsraum,Chamissokiez,"14,707",31.9,0.7,-1.1,-0.1,-4,-0.5,10.9,6.7,4.3,40.9,17.9,,15.6,8.4,25.1,8.6,1.7,0.5,2,7,1.3,1,24.8
2020206,Planungsraum,Graefekiez,"18,213",34.5,0.2,-0.9,0.2,-6.1,3.3,13.5,10.3,5.6,56.4,25.7,,16.7,8,29.9,10.2,3.9,0.6,3,6,2.2,1.8,33.5
2030301,Planungsraum,Oranienplatz,"9,297",33.2,-0.4,-0.2,-0.6,-3.6,7.9,19.1,13.8,8.1,73.7,37.1,,20.1,7.5,45.5,32.1,2.3,0.4,1.4,4.8,0.9,0.7,51.3
2030302,Planungsraum,Lausitzer Platz,"13,002",36,0.1,-1.2,0.4,1.1,3.8,15.9,13.4,6.6,61.7,26.8,,18.6,8.9,35.3,20.6,2,0.5,1.8,5.3,1.2,0.8,38.1
2030401,Planungsraum,Reichenberger Straße,"14,974",37.1,0.5,-0.9,0.1,-5.6,4.7,13.6,10,5.2,56.6,23.8,,15.1,7.6,30.3,12.8,1.8,0.4,2.1,6.8,1.6,1.3,33
