ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200212;12103116;12;10;31;16;2;1472;788;684;6;9;15;48;18;22;13;43;37;34;19;57;50;116;57;135;175;134;144;93;89;61;31;9;12;15;9;18;3;0;0;0;6;90;168;57;166;827;101;54;3
200212;12103117;12;10;31;17;2;1491;788;703;6;3;6;28;22;34;15;37;29;49;15;55;34;100;59;123;181;144;100;122;108;74;33;28;6;34;24;10;9;0;0;3;6;59;179;55;134;837;135;74;12
200212;12103218;12;10;32;18;2;1570;787;783;6;16;9;41;13;6;19;24;51;49;22;61;54;85;56;93;196;214;132;113;76;76;41;19;29;30;15;12;0;6;6;0;6;79;171;61;139;880;136;86;12
200212;12103219;12;10;32;19;2;959;481;478;0;0;3;15;10;3;25;22;25;6;7;32;35;77;36;69;122;104;100;45;69;49;32;12;19;15;15;9;0;0;3;0;0;28;88;32;112;545;93;58;3
200212;12103220;12;10;32;20;2;399;210;189;0;3;0;12;6;0;3;0;10;15;3;6;18;21;9;26;62;36;20;42;35;14;19;0;0;12;13;3;7;0;4;0;0;21;31;6;39;230;33;28;11
200212;12214125;12;21;41;25;2;494;269;225;6;0;3;6;4;0;0;10;12;6;3;3;13;19;12;28;82;67;53;32;44;31;27;6;9;9;3;3;0;0;3;0;6;13;31;3;32;318;64;24;3
200212;12214126;12;21;41;26;2;850;410;440;3;3;3;27;16;3;13;13;20;14;9;40;18;52;32;70;122;104;84;35;78;31;9;7;6;12;20;3;0;3;0;0;3;49;72;40;70;525;47;41;3
200212;12214421;12;21;44;21;2;152;85;67;0;0;0;0;0;0;6;0;3;9;0;0;4;18;3;3;30;20;3;18;12;10;7;3;0;0;0;0;3;0;0;0;0;0;18;0;22;89;20;0;3
200212;12214422;12;21;44;22;2;1627;850;777;3;3;18;42;31;43;22;78;51;43;21;51;58;99;65;122;218;145;133;86;84;66;40;24;19;25;18;12;7;0;0;0;3;94;258;51;157;853;130;74;7
200212;12214423;12;21;44;23;2;581;300;281;7;6;0;10;4;6;6;13;9;15;16;12;15;24;27;46;64;60;58;51;28;41;12;9;12;6;6;12;0;6;0;0;7;20;65;12;39;334;62;36;6
200212;12214424;12;21;44;24;2;1639;856;783;18;6;9;39;22;21;12;51;47;33;15;56;49;107;65;128;201;216;125;86;114;89;43;25;25;15;10;9;3;0;0;0;18;76;179;56;156;935;157;59;3
